entity_id,observed_at,value,baseline
critical-equipment-group-mine-3,2026-08-01T00:00:00+08:00,93.5,95.0
critical-equipment-group-mine-3,2026-08-02T00:00:00+08:00,94.1,95.0
critical-equipment-group-mine-3,2026-08-03T00:00:00+08:00,94.7,95.0
critical-equipment-group-mine-3,2026-08-04T00:00:00+08:00,95.3,95.0
critical-equipment-group-mine-3,2026-08-05T00:00:00+08:00,95.9,95.0
critical-equipment-group-mine-3,2026-08-06T00:00:00+08:00,93.5,95.0
critical-equipment-group-mine-3,2026-08-07T00:00:00+08:00,94.1,95.0
critical-equipment-group-mine-3,2026-08-08T00:00:00+08:00,94.7,95.0
critical-equipment-group-mine-3,2026-08-09T00:00:00+08:00,95.3,95.0
critical-equipment-group-mine-3,2026-08-10T00:00:00+08:00,95.9,95.0
critical-equipment-group-mine-3,2026-08-11T00:00:00+08:00,93.5,95.0
critical-equipment-group-mine-3,2026-08-12T00:00:00+08:00,94.1,95.0
critical-equipment-group-mine-3,2026-08-13T00:00:00+08:00,94.7,95.0
critical-equipment-group-mine-3,2026-08-14T00:00:00+08:00,95.3,95.0
critical-equipment-group-mine-3,2026-08-15T00:00:00+08:00,95.9,95.0
critical-equipment-group-mine-3,2026-08-16T00:00:00+08:00,93.5,95.0
critical-equipment-group-mine-3,2026-08-17T00:00:00+08:00,94.1,95.0
critical-equipment-group-mine-3,2026-08-18T00:00:00+08:00,94.7,95.0
critical-equipment-group-mine-3,2026-08-19T00:00:00+08:00,95.3,95.0
critical-equipment-group-mine-3,2026-08-20T00:00:00+08:00,83.6,95.0
critical-equipment-group-mine-3,2026-08-21T00:00:00+08:00,80.0,95.0
critical-equipment-group-mine-3,2026-08-22T00:00:00+08:00,81.2,95.0
critical-equipment-group-mine-3,2026-08-23T00:00:00+08:00,82.4,95.0
critical-equipment-group-mine-3,2026-08-24T00:00:00+08:00,83.6,95.0
critical-equipment-group-mine-3,2026-08-25T00:00:00+08:00,80.0,95.0
critical-equipment-group-mine-3,2026-08-26T00:00:00+08:00,81.2,95.0
critical-equipment-group-mine-3,2026-08-27T00:00:00+08:00,82.4,95.0
critical-equipment-group-mine-3,2026-08-28T00:00:00+08:00,83.6,95.0
critical-equipment-group-mine-3,2026-08-29T00:00:00+08:00,80.0,95.0
critical-equipment-group-mine-3,2026-08-30T00:00:00+08:00,81.2,95.0
critical-equipment-group-mine-3,2026-08-31T00:00:00+08:00,82.4,95.0
