entity_id,observed_at,cycle_time,cycle_baseline,queue_time,queue_baseline
haulage-system-mine-3,2026-08-01T12:00:00+08:00,19.5,20.0,3.5,4.0
haulage-system-mine-3,2026-08-02T12:00:00+08:00,20.3,20.0,4.0,4.0
haulage-system-mine-3,2026-08-03T12:00:00+08:00,21.1,20.0,4.5,4.0
haulage-system-mine-3,2026-08-04T12:00:00+08:00,21.9,20.0,3.5,4.0
haulage-system-mine-3,2026-08-05T12:00:00+08:00,19.5,20.0,4.0,4.0
haulage-system-mine-3,2026-08-06T12:00:00+08:00,20.3,20.0,4.5,4.0
haulage-system-mine-3,2026-08-07T12:00:00+08:00,21.1,20.0,3.5,4.0
haulage-system-mine-3,2026-08-08T12:00:00+08:00,21.9,20.0,4.0,4.0
haulage-system-mine-3,2026-08-09T12:00:00+08:00,19.5,20.0,4.5,4.0
haulage-system-mine-3,2026-08-10T12:00:00+08:00,20.3,20.0,3.5,4.0
haulage-system-mine-3,2026-08-11T12:00:00+08:00,21.1,20.0,4.0,4.0
haulage-system-mine-3,2026-08-12T12:00:00+08:00,21.9,20.0,4.5,4.0
haulage-system-mine-3,2026-08-13T12:00:00+08:00,19.5,20.0,3.5,4.0
haulage-system-mine-3,2026-08-14T12:00:00+08:00,20.3,20.0,4.0,4.0
haulage-system-mine-3,2026-08-15T12:00:00+08:00,21.1,20.0,4.5,4.0
haulage-system-mine-3,2026-08-16T12:00:00+08:00,21.9,20.0,3.5,4.0
haulage-system-mine-3,2026-08-17T12:00:00+08:00,19.5,20.0,4.0,4.0
haulage-system-mine-3,2026-08-18T12:00:00+08:00,20.3,20.0,4.5,4.0
haulage-system-mine-3,2026-08-19T12:00:00+08:00,21.1,20.0,3.5,4.0
haulage-system-mine-3,2026-08-20T12:00:00+08:00,34.8,20.0,17.0,4.0
haulage-system-mine-3,2026-08-21T12:00:00+08:00,30.0,20.0,14.0,4.0
haulage-system-mine-3,2026-08-22T12:00:00+08:00,31.2,20.0,15.0,4.0
haulage-system-mine-3,2026-08-23T12:00:00+08:00,32.4,20.0,16.0,4.0
haulage-system-mine-3,2026-08-24T12:00:00+08:00,33.6,20.0,17.0,4.0
haulage-system-mine-3,2026-08-25T12:00:00+08:00,34.8,20.0,14.0,4.0
haulage-system-mine-3,2026-08-26T12:00:00+08:00,30.0,20.0,15.0,4.0
haulage-system-mine-3,2026-08-27T12:00:00+08:00,31.2,20.0,16.0,4.0
haulage-system-mine-3,2026-08-28T12:00:00+08:00,32.4,20.0,17.0,4.0
haulage-system-mine-3,2026-08-29T12:00:00+08:00,33.6,20.0,14.0,4.0
haulage-system-mine-3,2026-08-30T12:00:00+08:00,34.8,20.0,15.0,4.0
haulage-system-mine-3,2026-08-31T12:00:00+08:00,30.0,20.0,16.0,4.0
