entity_id,observed_at,value,baseline
mine-3,2026-08-01T08:00:00+08:00,2600,2700
mine-3,2026-08-01T20:00:00+08:00,2500,2650
mine-3,2026-08-02T08:00:00+08:00,2680,2700
mine-3,2026-08-02T20:00:00+08:00,2570,2650
mine-3,2026-08-03T08:00:00+08:00,2760,2700
mine-3,2026-08-03T20:00:00+08:00,2640,2650
mine-3,2026-08-04T08:00:00+08:00,2840,2700
mine-3,2026-08-04T20:00:00+08:00,2710,2650
mine-3,2026-08-05T08:00:00+08:00,2920,2700
mine-3,2026-08-05T20:00:00+08:00,2500,2650
mine-3,2026-08-06T08:00:00+08:00,2600,2700
mine-3,2026-08-06T20:00:00+08:00,2570,2650
mine-3,2026-08-07T08:00:00+08:00,2680,2700
mine-3,2026-08-07T20:00:00+08:00,2640,2650
mine-3,2026-08-08T08:00:00+08:00,2760,2700
mine-3,2026-08-08T20:00:00+08:00,2710,2650
mine-3,2026-08-09T08:00:00+08:00,2840,2700
mine-3,2026-08-09T20:00:00+08:00,2500,2650
mine-3,2026-08-10T08:00:00+08:00,2920,2700
mine-3,2026-08-10T20:00:00+08:00,2570,2650
mine-3,2026-08-11T08:00:00+08:00,2600,2700
mine-3,2026-08-11T20:00:00+08:00,2640,2650
mine-3,2026-08-12T08:00:00+08:00,2680,2700
mine-3,2026-08-12T20:00:00+08:00,2710,2650
mine-3,2026-08-13T08:00:00+08:00,2760,2700
mine-3,2026-08-13T20:00:00+08:00,2500,2650
mine-3,2026-08-14T08:00:00+08:00,2840,2700
mine-3,2026-08-14T20:00:00+08:00,2570,2650
mine-3,2026-08-15T08:00:00+08:00,2920,2700
mine-3,2026-08-15T20:00:00+08:00,2640,2650
mine-3,2026-08-16T08:00:00+08:00,2600,2700
mine-3,2026-08-16T20:00:00+08:00,2710,2650
mine-3,2026-08-17T08:00:00+08:00,2680,2700
mine-3,2026-08-17T20:00:00+08:00,2500,2650
mine-3,2026-08-18T08:00:00+08:00,2760,2700
mine-3,2026-08-18T20:00:00+08:00,2570,2650
mine-3,2026-08-19T08:00:00+08:00,2840,2700
mine-3,2026-08-19T20:00:00+08:00,2640,2650
mine-3,2026-08-20T08:00:00+08:00,2160,2700
mine-3,2026-08-20T20:00:00+08:00,2150,2650
mine-3,2026-08-21T08:00:00+08:00,2220,2700
mine-3,2026-08-21T20:00:00+08:00,2000,2650
mine-3,2026-08-22T08:00:00+08:00,2100,2700
mine-3,2026-08-22T20:00:00+08:00,2050,2650
mine-3,2026-08-23T08:00:00+08:00,2160,2700
mine-3,2026-08-23T20:00:00+08:00,2100,2650
mine-3,2026-08-24T08:00:00+08:00,2220,2700
mine-3,2026-08-24T20:00:00+08:00,2150,2650
mine-3,2026-08-25T08:00:00+08:00,2100,2700
mine-3,2026-08-25T20:00:00+08:00,2000,2650
mine-3,2026-08-26T08:00:00+08:00,2160,2700
mine-3,2026-08-26T20:00:00+08:00,2050,2650
mine-3,2026-08-27T08:00:00+08:00,2220,2700
mine-3,2026-08-27T20:00:00+08:00,2100,2650
mine-3,2026-08-28T08:00:00+08:00,2100,2700
mine-3,2026-08-28T20:00:00+08:00,2150,2650
mine-3,2026-08-29T08:00:00+08:00,2160,2700
mine-3,2026-08-29T20:00:00+08:00,2000,2650
mine-3,2026-08-30T08:00:00+08:00,2220,2700
mine-3,2026-08-30T20:00:00+08:00,2050,2650
mine-3,2026-08-31T08:00:00+08:00,2100,2700
mine-3,2026-08-31T20:00:00+08:00,2100,2650
