# 列: entity_type_id, name, business_code, data_domain_id, attributes(JSON)
# 煤矿开采行业演示实体数据（ABox），用于知识中心批量导入,,,,
mine,3号矿,MINE-003,production_data,"{""design_capacity"":300,""commissioning_date"":""2018-06-01"",""coal_seam_thickness"":4.2}"
mine,1号矿,MINE-001,production_data,"{""design_capacity"":240,""commissioning_date"":""2015-03-15"",""coal_seam_thickness"":3.8}"
mine,2号矿,MINE-002,production_data,"{""design_capacity"":180,""commissioning_date"":""2020-09-20"",""coal_seam_thickness"":2.5}"
coal_face,3号矿综采一队工作面,CF-301,production_data,"{""face_length"":280,""current_advance"":1560,""coal_type"":""焦煤""}"
coal_face,3号矿综采二队工作面,CF-302,production_data,"{""face_length"":250,""current_advance"":890,""coal_type"":""焦煤""}"
coal_face,1号矿综采工作面,CF-101,production_data,"{""face_length"":220,""current_advance"":2100,""coal_type"":""动力煤""}"
heading_face,3号矿掘进一队工作面,HF-301,production_data,"{""roadway_type"":""回风巷"",""monthly_advance_target"":550}"
heading_face,3号矿掘进二队工作面,HF-302,production_data,"{""roadway_type"":""运输巷"",""monthly_advance_target"":500}"
heading_face,1号矿掘进工作面,HF-101,production_data,"{""roadway_type"":""回风巷"",""monthly_advance_target"":480}"
transport_system,3号矿矿卡运输系统,TS-301,transport_data,"{""transport_mode"":""矿卡运输"",""average_distance"":3.5}"
transport_system,3号矿皮带运输系统,TS-302,transport_data,"{""transport_mode"":""皮带运输"",""average_distance"":2.8}"
transport_system,1号矿运输系统,TS-101,transport_data,"{""transport_mode"":""矿卡运输"",""average_distance"":2.2}"
equipment_group,3号矿综采设备组,EG-301,equipment_data,"{""equipment_count"":45,""criticality_level"":""critical""}"
equipment_group,3号矿掘进设备组,EG-302,equipment_data,"{""equipment_count"":12,""criticality_level"":""high""}"
equipment_group,3号矿运输设备组,EG-303,equipment_data,"{""equipment_count"":28,""criticality_level"":""high""}"
equipment_group,1号矿综采设备组,EG-101,equipment_data,"{""equipment_count"":38,""criticality_level"":""critical""}"
mining_truck,矿卡MT-301,MT-301,transport_data,"{""load_capacity"":91,""manufacturer"":""同力重工"",""purchase_year"":2021}"
mining_truck,矿卡MT-302,MT-302,transport_data,"{""load_capacity"":91,""manufacturer"":""同力重工"",""purchase_year"":2021}"
mining_truck,矿卡MT-303,MT-303,transport_data,"{""load_capacity"":105,""manufacturer"":""北方股份"",""purchase_year"":2022}"
mining_truck,矿卡MT-304,MT-304,transport_data,"{""load_capacity"":105,""manufacturer"":""北方股份"",""purchase_year"":2022}"
mining_truck,矿卡MT-101,MT-101,transport_data,"{""load_capacity"":60,""manufacturer"":""徐工"",""purchase_year"":2020}"
shearer,采煤机SL-301,SL-301,equipment_data,"{""model"":""MG500/1180-WD"",""cutting_height_max"":4.5,""installed_power"":1180}"
shearer,采煤机SL-302,SL-302,equipment_data,"{""model"":""MG400/930-WD"",""cutting_height_max"":3.8,""installed_power"":930}"
shearer,采煤机SL-101,SL-101,equipment_data,"{""model"":""MG300/700-WD"",""cutting_height_max"":3.2,""installed_power"":700}"
roadheader,掘进机RH-301,RH-301,equipment_data,"{""model"":""EBZ160"",""cutting_power"":160}"
roadheader,掘进机RH-302,RH-302,equipment_data,"{""model"":""EBZ200"",""cutting_power"":200}"
roadheader,掘进机RH-101,RH-101,equipment_data,"{""model"":""EBZ132"",""cutting_power"":132}"
hydraulic_support,液压支架HS-301-A,HS-301-A,equipment_data,"{""working_resistance"":8000,""support_height_max"":4.5}"
hydraulic_support,液压支架HS-302-A,HS-302-A,equipment_data,"{""working_resistance"":6400,""support_height_max"":3.8}"
loader,装载机LD-301,LD-301,transport_data,"{""bucket_capacity"":5.4,""manufacturer"":""柳工""}"
loader,装载机LD-302,LD-302,transport_data,"{""bucket_capacity"":5.4,""manufacturer"":""柳工""}"
ventilation_system,3号矿通风系统,VS-301,safety_data,"{""main_fan_capacity"":12000,""ventilation_mode"":""抽出式""}"
ventilation_system,1号矿通风系统,VS-101,safety_data,"{""main_fan_capacity"":9000,""ventilation_mode"":""抽出式""}"
safety_monitor_system,3号矿安全监测系统,SMS-301,safety_data,"{""sensor_count"":186,""system_vendor"":""煤科院""}"
safety_monitor_system,1号矿安全监测系统,SMS-101,safety_data,"{""sensor_count"":142,""system_vendor"":""煤科院""}"
team,3号矿综采一队,TM-301,production_data,"{""shift"":""早班"",""team_size"":24}"
team,3号矿综采二队,TM-302,production_data,"{""shift"":""中班"",""team_size"":22}"
team,3号矿掘进一队,TM-303,production_data,"{""shift"":""早班"",""team_size"":18}"
team,1号矿综采队,TM-101,production_data,"{""shift"":""早班"",""team_size"":20}"
employee,张建党,EMP-001,production_data,"{""position"":""采煤机司机"",""certification"":""煤矿特种作业操作证""}"
employee,李卫东,EMP-002,production_data,"{""position"":""掘进机司机"",""certification"":""煤矿特种作业操作证""}"
employee,王志强,EMP-003,production_data,"{""position"":""综采一队队长"",""certification"":""煤矿安全资格证""}"
employee,赵明辉,EMP-004,production_data,"{""position"":""安全员"",""certification"":""煤矿安全监察证""}"
